Sat.A1Gregorian            Sat.EarthICRF.X           Sat.EarthICRF.Y           Sat.EarthICRF.Z           Sat.EarthICRF.VX          Sat.EarthICRF.VY          Sat.EarthICRF.VZ          
01 Jan 2000 12:49:00.034   -7147.888936896274        -250.7783373877054        -250.779045405315         0.375060101463667         -5.196840768727379        -5.196840853230334        
01 Jan 2000 12:50:00.034   -7111.411845825411        -561.8945401196897        -561.8952518212304        0.8404790773930102        -5.170314664415899        -5.170314702580727        
01 Jan 2000 12:51:00.034   -7047.091843565536        -870.8106683508231        -870.8113809499096        1.302878718272213         -5.123522956623366        -5.123522948273119        
01 Jan 2000 12:52:00.034   -6955.160170813637        -1176.314628099749        -1176.315338804378        1.760590701048844         -5.05660373526446         -5.056603680389292        
01 Jan 2000 12:53:00.034   -6835.947954381755        -1477.204416853556        -1477.205122876154        2.211954279018218         -4.969755337526892        -4.969755236284724        
01 Jan 2000 12:54:00.034   -6689.885667231363        -1772.29174731536         -1772.292445882861        2.655319149584353         -4.863236658506935        -4.863236511223847        
01 Jan 2000 12:55:00.034   -6517.502412176002        -2060.405692114438        -2060.40638047838         3.089048470449079         -4.73736753714389         -4.737367344314222        
01 Jan 2000 12:56:00.034   -6319.425019240205        -2340.396353569103        -2340.397029015716        3.511522060845933         -4.592529202611824        -4.592528964897976        
01 Jan 2000 12:57:00.034   -6096.376944516778        -2611.138561596719        -2611.139221456999        3.921139822660668         -4.429164762813904        -4.429164481045816        
01 Jan 2000 12:58:00.034   -5849.176956338775        -2871.535601658073        -2871.536243317805        4.316325414038028         -4.247779713090642        -4.247779388264911        
01 Jan 2000 12:59:00.034   -5578.737592706665        -3120.522973203704        -3120.52359411343         4.695530205313932         -4.048942439711952        -4.048942072990585        
01 Jan 2000 13:00:00.034   -5286.063372217794        -3357.072177458087        -3357.072775142982        5.057237543777503         -3.833284689197473        -3.833284281906226        
01 Jan 2000 13:01:00.034   -4972.248739270765        -3580.194531535619        -3580.195103605255        5.399967349799908         -3.601501971033629        -3.60150152465991         
01 Jan 2000 13:02:00.034   -4638.475723101251        -3788.945003834379        -3788.945547992352        5.722281062208095         -3.354353857974783        -3.354353374165067        
01 Jan 2000 13:03:00.034   -4286.011289291439        -3982.426063407162        -3982.426577460537        6.022786945375523         -3.092664144887795        -3.092663625444528        
01 Jan 2000 13:04:00.034   -3916.204361828887        -4159.791533575344        -4159.792015443922        6.300145764299781         -2.817320824096142        -2.817320270974085        
01 Jan 2000 13:05:00.034   -3530.482493621317        -4320.250437446047        -4320.250885171364        6.553076826900155         -2.529275832487027        -2.529275247789004        
01 Jan 2000 13:06:00.034   -3130.348163652363        -4463.070820237936        -4463.071231992017        6.780364384873582         -2.229544523362343        -2.229543909334335        
01 Jan 2000 13:07:00.034   -2717.374679741364        -4587.583530444274        -4587.583904538049        6.980864375692462         -1.919204814254554        -1.919204173280129        
01 Jan 2000 13:08:00.034   -2293.201667199019        -4693.185938898068        -4693.186273789446        7.153511478735162         -1.599395960816253        -1.599395295410263        
01 Jan 2000 13:09:00.034   -1859.530125598787        -4779.345571796544        -4779.345866098086        7.297326448164189         -1.27131690656121         -1.271316219362728        
01 Jan 2000 13:10:00.034   -1418.117038455924        -4845.603630741635        -4845.603883227773        7.411423674098442         -0.9362241588257038       -0.9362234525901749       
01 Jan 2000 13:11:00.034   -970.7695238597255        -4891.578369919222        -4891.578579532982        7.495018911997127         -0.5954291429741612       -0.5954284205647266       
01 Jan 2000 13:12:00.034   -519.3385180684422        -4916.968297740766        -4916.968463599955        7.547437108161983         -0.2502949897315903       -0.2502942541095713       
01 Jan 2000 13:13:00.034   -65.71198876676851        -4921.555167682658        -4921.555289085447        7.568120237098651         0.09776728528376463       0.09776803106924428       
01 Jan 2000 13:14:00.034   388.192319895937          -4905.20672076464         -4905.206797194498        7.556635054434771         0.4473032451191312        0.447303997942388         
01 Jan 2000 13:15:00.034   840.4346022394732         -4867.879140198246        -4867.879171328178        7.512680657499333         0.7968201662639385        0.7968209229348348        
01 Jan 2000 13:16:00.034   1289.061150909495         -4809.619177303081        -4809.619162999109        7.436095734898603         1.144792864025552         1.14479362130245          
01 Jan 2000 13:17:00.034   1732.112939194842         -4730.565906927975        -4730.565847251819        7.326865376892948         1.489670217551945         1.489670972155483         
01 Jan 2000 13:18:00.034   2167.634595406504         -4630.952070419922        -4630.951965630833        7.185127310530683         1.829882391675564         1.829883140303214         
01 Jan 2000 13:19:00.034   2593.683730573593         -4511.104964745654        -4511.104815301346        7.011177417791727         2.163848739446659         2.16384947878801          
01 Jan 2000 13:20:00.034   3008.340572099851         -4371.446837769727        -4371.446644326384        6.80547439189761          2.489986354662753         2.489987081415452         
01 Jan 2000 13:21:00.034   3409.717847315873         -4212.494751997363        -4212.494515408653        6.568643386897787         2.806719228133186         2.806719939019456         
01 Jan 2000 13:22:00.034   3795.970852252812         -4034.859882350956        -4034.859603666055        6.301478519044937         3.112487945167758         3.11248863695138          
01 Jan 2000 13:23:00.034   4165.307632669975         -3839.246217795574        -3839.245898256153        6.004944085655452         3.405759845242325         3.405760514745982         
01 Jan 2000 13:24:00.034   4515.999196626102         -3626.448641864558        -3626.448282900724        5.680174378354075         3.685039548433797         3.685040192556651         
01 Jan 2000 13:25:00.034   4846.389670937529         -3397.350373335643        -3397.349976560822        5.328471982942939         3.948879737548605         3.948880353283951         
01 Jan 2000 13:26:00.034   5154.906307964311         -3152.919755412888        -3152.919322617644        4.951304477593915         4.195892070447749         4.1958926549006           
01 Jan 2000 13:27:00.034   5440.069244550265         -2894.206389688012        -2894.205922832831        4.550299464458446         4.424758084471652         4.424758634876098         
01 Jan 2000 13:28:00.034   5700.500911841203         -2622.336619760261        -2622.336120967286        4.127237896769541         4.63423994465693          4.634240458393087         
01 Jan 2000 13:29:00.034   5934.934993317534         -2338.508378526803        -2338.507850070585        3.684045693549881         4.823190880149436         4.823191354759813         
01 Jan 2000 13:30:00.034   6142.224828866594         -2043.985422626252        -2043.984866923535        3.222783666441959         4.990565149325952         4.990565582531071         
01 Jan 2000 13:31:00.034   6321.351165203188         -1740.090987110212        -1740.090406708803        2.745635817091022         5.135427374022595         5.135427763735671         
01 Jan 2000 13:32:00.034   6471.429157486117         -1428.200902896671        -1428.200300463467        2.254896097961152         5.256961087195549         5.25696143153607          
01 Jan 2000 13:33:00.034   6591.714533574175         -1109.736228677611        -1109.735606985847        1.752953763378823         5.354476346433843         5.354476643739893         
01 Jan 2000 13:34:00.034   6681.608840951604         -786.1554574614776        -786.1548193772767        1.242277469858065         5.427416277972509         5.427416526811678         
01 Jan 2000 13:35:00.034   6740.663706797538         -458.9463655861753        -458.9457140544891        0.725398314250302         5.47536243201998          5.475362631198737         
01 Jan 2000 13:36:00.034   6768.584053777852         -129.6175786139518        -129.6169166439882        0.2048920239191043        5.498038849953191         5.498038998524597         
01 Jan 2000 13:37:00.034   6765.230227642157         200.3100661837769         200.3107355335376         -0.3166394659864842       5.495314766727947         5.495314863997626         
01 Jan 2000 13:38:00.034   6730.619007301497         529.3122771900648         529.3129508271568         -0.8365867977893418       5.467205897043822         5.467205942574115         
01 Jan 2000 13:39:00.034   6664.923483390425         855.8700998038563         855.8707746173096         -1.352352079572147        5.413874280624405         5.413874274236663         
01 Jan 2000 13:40:00.034   6568.471806998335         1178.478655296648         1178.479328172551         -1.86136761438991         5.33562668958142          5.335626631356425         
01 Jan 2000 13:41:00.034   6441.744825893678         1495.655741668036         1495.656409505065         -2.361114212322045        5.23291162834402          5.232911518620529         
01 Jan 2000 13:42:00.034   6285.372640766564         1805.950213635896         1805.950873360707         -2.849138837768126        5.106314983175976         5.106314822547437         
01 Jan 2000 13:43:00.034   6100.130128403467         2107.950063071451         2107.950711653818         -3.323071360940327        4.956554403042829         4.956554192352312         
01 Jan 2000 13:44:00.034   5886.931491936599         2400.290126775371         2400.290761242966         -3.780640204476772        4.784472515781799         4.784472256115245         
01 Jan 2000 13:45:00.034   5646.82391007876          2681.659355315773         2681.659972768497         -4.219686702662689        4.59102910253979          4.591028795217648         
01 Jan 2000 13:46:00.034   5380.980367315488         2950.807584506688         2950.808182130456         -4.638178020920905        4.377292368791909         4.377292015359315         
01 Jan 2000 13:47:00.034   5090.691755195204         3206.551759765349         3206.552334845238         -5.03421851594232         4.144429461606754         4.144429063822364         
01 Jan 2000 13:48:00.034   4777.358341016423         3447.781572803538         3447.782122736237         -5.406059450949016        3.893696390023304         3.893695949846936         
01 Jan 2000 13:49:00.034   4442.480704307672         3673.464479631974         3673.465001937457         -5.752107015005314        3.626427508450418         3.62642702802967          
01 Jan 2000 13:50:00.034   4087.650243544473         3882.650078442244         3882.650570774611         -6.070928628961298        3.344024722049644         3.344024203705628         
01 Jan 2000 13:51:00.034   3714.539355623117         4074.473835346332         4074.474295503777         -6.361257552575867        3.04794656840689          3.047946014619268         
01 Jan 2000 13:52:00.034   3324.891388840631         4248.160154988826         4248.160580922686         -6.621995836803296        2.739697321842132         2.739696735233599         
01 Jan 2000 13:53:00.034   2920.51046668642          4403.024801517445         4403.025191340304         -6.852215691478239        2.420816255936863         2.420815639257251         
01 Jan 2000 13:54:00.034   2503.251274840445         4538.476683151112         4538.477035143951         -7.051159361209562        2.092867186820505         2.092866542930649         
01 Jan 2000 13:55:00.034   2075.008897626125         4654.019020502202         4654.019333120572         -7.218237620879689        1.757428405020774         1.757427736876297         
01 Jan 2000 13:56:00.034   1637.708783028049         4749.24992480629          4749.250196685512         -7.353027016597405        1.416083087820614         1.416082398455755         
01 Jan 2000 13:57:00.034   1193.296907503521         4823.862417237616         4823.862647197016         -7.455265988279352        1.070410267624314         1.070409560135922         
01 Jan 2000 13:58:00.034   743.7302034366543         4877.643924522508         4877.644111568708         -7.524850016385355        0.721976415323823         0.721975692855639         
01 Jan 2000 13:59:00.034   290.967303435446          4910.47528911551          4910.475432444773         -7.561825937965829        0.3723276815214664        0.3723269472487788        
01 Jan 2000 14:00:00.034   -163.0403530310249        4922.329334308411         4922.329433308085         -7.566385576444051        0.02298282308831318       0.02298208020307052       
01 Jan 2000 14:01:00.034   -616.357013726388         4913.26902585579          4913.269080104878         -7.538858825863083        -0.3245731717737025       -0.3245739200772438       
01 Jan 2000 14:02:00.034   -1067.070679811978        4883.445272093528         4883.445281362408         -7.479706324124946        -0.6688947598094097       -0.6688955103484534       
01 Jan 2000 14:03:00.034   -1513.30072325657         4833.094404181943         4833.094368431288         -7.389511841502404        -1.008580831721861        -1.008581581338206        
01 Jan 2000 14:04:00.034   -1953.205041952997        4762.535377113865         4762.535296492783         -7.268974500870805        -1.342279035306684        -1.342279780879199        
01 Jan 2000 14:05:00.034   -2384.986745665986        4672.166730584488         4672.166605427947         -7.118900935127999        -1.668689462503228        -1.668690200959638        
01 Jan 2000 14:06:00.034   -2806.900371914739        4562.463346819523         4562.463177645082         -6.940197475550876        -1.986567736987959        -1.986568465315939        
01 Jan 2000 14:07:00.034   -3217.257636156916        4433.973040093779         4433.972827597677         -6.733862452741532        -2.294727544252954        -2.294728259510528        
01 Jan 2000 14:08:00.034   -3614.432725174819        4287.313010032002         4287.312755084638         -6.500978679661797        -2.59204265000768         -2.592043349332921        
01 Jan 2000 14:09:00.034   -3996.867146374423        4123.166187949644         4123.165891590508         -6.242706174308222        -2.877448455331623        -2.877449135951681        
01 Jan 2000 14:10:00.034   -4363.07414881286         3942.277502537593         3942.277165969662         -5.96027516805746         -3.149943138420625        -3.149943797660097        
01 Jan 2000 14:11:00.034   -4711.642734200484        3745.45008818806          3745.449712771719         -5.654979434782078        -3.408588433151253        -3.408589068439908        
01 Jan 2000 14:12:00.034   -5041.241277919438        3533.541456256582         3533.541043503094         -5.328169965622404        -3.65251009417749         -3.652510703057386        
01 Jan 2000 14:13:00.034   -5350.620781307153        3307.459646606641         3307.459198171217         -4.981249004883404        -3.880898097011986        -3.880898677144013        
01 Jan 2000 14:14:00.034   -5638.617777119853        3068.159373929989         3068.158891604473         -4.615664453953938        -4.093006619662181        -4.093007168832043        
01 Jan 2000 14:15:00.034   -5904.156910269482        2816.638180610694         2816.637666315904         -4.232904642435845        -4.288153850012065        -4.28815436613575         
01 Jan 2000 14:16:00.034   -6146.253215668709        2553.93260533083          2553.932061108599         -3.834493458814817        -4.465721660373185        -4.46572214150195         
01 Jan 2000 14:17:00.034   -6364.014114373814        2281.114374220823         2281.113802225733         -3.421985826977085        -4.625155187570395        -4.625155631895292        
01 Jan 2000 14:18:00.034   -6556.64114823234         1999.286619152652         1999.286021643531         -2.996963509634356        -4.765962353661386        -4.765962759517369        
01 Jan 2000 14:19:00.034   -6723.431471967531        1709.58012576983          1709.579505101001         -2.561031215213589        -4.887713358983156        -4.887713724852794        
01 Jan 2000 14:20:00.034   -6863.779120106824        1413.14961205085          1413.148970663172         -2.115812980941256        -4.99004017572855         -4.990040500245363        
01 Jan 2000 14:21:00.034   -6977.176064426339        1111.17003661646          1111.169377028181         -1.662948801644915        -5.072636066724621        -5.07263634867609         
01 Jan 2000 14:22:00.034   -7063.213075672662        804.8329346170395         804.832259414477          -1.20409147115005         -5.135255150543149        -5.135255388873392        
01 Jan 2000 14:23:00.034   -7121.580401269311        495.3427778745776         495.3420897026448         -0.7409036010122138       -5.177712030543206        -5.17771222435536         
01 Jan 2000 14:24:00.034   -7152.068268547156        183.9133550030672         183.9126565556711         -0.2750547796437801       -5.199881501938219        -5.199881650496532        
01 Jan 2000 14:25:00.034   -7154.567220781565        -128.2358335098412        -128.2365394995236        0.1917811663718048        -5.201698347500329        -5.201698450231977        
01 Jan 2000 14:26:00.034   -7129.068290998275        -439.8831708101634        -439.8838815795087        0.6579288478722993        -5.183157229061493        -5.183157285558139        
01 Jan 2000 14:27:00.034   -7075.663016146569        -749.808515650605         -749.809228417452         1.121713965242654         -5.144312678537966        -5.144312688557051        
01 Jan 2000 14:28:00.034   -6994.543291853213        -1056.796796826934        -1056.797508799563        1.58146597689741          -5.085279188783408        -5.085279152249184        
01 Jan 2000 14:29:00.034   -6886.001065583649        -1359.641615991081        -1359.642324378246        2.035520823806017         -5.006231401155561        -5.006231318159859        
01 Jan 2000 14:30:00.034   -6750.427863668225        -1657.148864464613        -1657.149566485616        2.482223749275616         -4.907404383251326        -4.907404254054061        
01 Jan 2000 14:31:00.034   -6588.314145321236        -1948.140359180157        -1948.141052074938        2.919932252383618         -4.789093986815994        -4.789093811845376        
01 Jan 2000 14:32:00.034   -6400.248474510892        -2231.457502174592        -2231.458183213825        3.347019212256083         -4.651657272357646        -4.651657052210109        
01 Jan 2000 14:33:00.034   -6186.916498352675        -2505.964967144746        -2505.965633639922        3.761876218784028         -4.495512983495192        -4.49551271893499         
01 Jan 2000 14:34:00.034   -5949.099718622094        -2770.554415452335        -2770.555064765816        4.162917143317011         -4.321142050541489        -4.321141742499967        
01 Jan 2000 14:35:00.034   -5687.674041044515        -3024.148242628795        -3024.148872183805        4.548581980322842         -4.129088099282367        -4.129087748856857        
01 Jan 2000 14:36:00.034   -5403.608085250476        -3265.703354882115        -3265.703962172654        4.917340987900017         -3.919957937377172        -3.919957545829498        
