Sat.A1Gregorian            Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
01 Jan 2000 12:19:00.034   1899.246505730094         4692.444816262239         4688.323240481444         -7.280105764921709        1.621163281351869         1.611740785948716         
01 Jan 2000 12:20:00.034   1458.624473014181         4779.434415353477         4774.728351904892         -7.401868367909527        1.277737113304063         1.267681920443992         
01 Jan 2000 12:21:00.034   1011.675497317126         4845.698471592088         4840.370968272035         -7.490983222268208        0.930571986425079         0.9199188626133598        
01 Jan 2000 12:22:00.034   560.3606500635701         4891.059315458732         4885.075703325559         -7.547401746293748        0.5812203277136901        0.570010564097777         
01 Jan 2000 12:23:00.034   106.6394823289001         4915.4317825477           4908.760057793394         -7.571222167237973        0.2312120869271453        0.2194931724837746        
01 Jan 2000 12:24:00.034   -347.538592902974         4918.821668716302         4911.432853797386         -7.562683085740329        -0.117951692136117        -0.1301264342561694       
01 Jan 2000 12:25:00.034   -800.242519979582         4901.323819543449         4893.192301519738         -7.522156648706514        -0.4648046347028859       -0.4773764423885963       
01 Jan 2000 12:26:00.034   -1249.56740144331         4863.119893562234         4854.223737904522         -7.450141449365946        -0.8079201498070907       -0.8208252436413603       
01 Jan 2000 12:27:00.034   -1693.64186741767         4804.475837427529         4794.797075855562         -7.347255261443445        -1.145915922573135        -1.159085949045003        
01 Jan 2000 12:28:00.034   -2130.635006464341        4725.739109424782         4715.264000621352         -7.214227702078596        -1.477457816421082        -1.490820308105237        
01 Jan 2000 12:29:00.034   -2558.762856164522        4627.335685623756         4616.054947936327         -7.051892905727918        -1.801263222593384        -1.814742071039841        
01 Jan 2000 12:30:00.034   -2976.294456245498        4509.766880625201         4497.675896111157         -6.861182279121283        -2.116103897893757        -2.129619835333406        
01 Jan 2000 12:31:00.034   -3381.5574709243          4373.606012323415         4360.70500171733          -6.643117395666947        -2.420808333714424        -2.434279420066448        
01 Jan 2000 12:32:00.034   -3772.943390310244        4219.494937486103         4205.789105866644         -6.398803076696733        -2.714263700487345        -2.727605812542187        
01 Jan 2000 12:33:00.034   -4148.912323241103        4048.140482296959         4033.640135407012         -6.12942069673282         -2.995417411815688        -3.008544731853092        
01 Jan 2000 12:34:00.034   -4507.997395873821        3860.310789367104         3845.031420693794         -5.836221740614355        -3.263278351888063        -3.276103853366435        
