time		x_position		y_position		z_position		x_velocity		y_velocity		z_velocity
92705380.5380538 137152857.64538068 -59766460.82508746 0.0 11.895745380586625 27.320709637813653 0.0
92717991.79917991 137302445.46765938 -59421724.17130504 0.0 11.827138798275136 27.350503538391585 0.0
92730603.06030603 137451167.60278416 -59076612.865614764 0.0 11.75845749322279 27.380125061227492 0.0
92743214.32143214 137599023.1111406 -58731129.08310341 0.0 11.689701899021486 27.409574018408073 0.0
92755825.58255826 137746011.05858538 -58385275.00122069 0.0 11.620872449738249 27.438850223113096 0.0
92768436.84368438 137892130.51645237 -58039052.79976545 0.0 11.551969579912459 27.46795348961662 0.0
92781048.10481049 138037380.56155837 -57692464.66087188 0.0 11.48299372455308 27.4968836332882 0.0
92793659.3659366 138181760.27620932 -57345512.76899566 0.0 11.413945319135886 27.525640470594077 0.0
92806270.62706272 138325268.74820584 -56998199.310900144 0.0 11.344824799600683 27.554223819098393 0.0
92818881.88818881 138467905.07084924 -56650526.475642525 0.0 11.275632602348525 27.582633497464343 0.0
92831493.14931493 138609668.3429473 -56302496.45455993 0.0 11.206369164238941 27.61086932545539 0.0
92844104.41044104 138750557.6688201 -55954111.44125553 0.0 11.137034922587132 27.638931123936423 0.0
92856715.67156716 138890572.15830556 -55605373.63158471 0.0 11.067630315161201 27.6668187148749 0.0
92869326.93269327 139029710.9267653 -55256285.223641075 0.0 10.998155780179344 27.694531921342033 0.0
92881938.19381939 139167973.09509024 -54906848.41774258 0.0 10.928611756307063 27.722070567513928 0.0
92894549.4549455 139305357.78970623 -54557065.41641754 0.0 10.858998682654367 27.749434478672743 0.0
92907160.71607162 139441864.1425797 -54206938.42439075 0.0 10.789316998772962 27.77662348120778 0.0
92919771.9771977 139577491.29122305 -53856469.64856942 0.0 10.71956714465346 27.803637402616665 0.0
92932383.23832382 139712238.37870035 -53505661.29802926 0.0 10.64974956072256 27.830476071506446 0.0
92944994.49944994 139846104.55363268 -53154515.58400047 0.0 10.579864687840242 27.85713931759471 0.0
92957605.76057605 139979088.97020367 -52803034.719853684 0.0 10.509912967296955 27.88362697171068 0.0
92970217.02170217 140111190.78816488 -52451220.92108601 0.0 10.4398948408108 27.90993886579633 0.0
92982828.28282829 140242409.17284122 -52099076.40530695 0.0 10.369810750524701 27.936074832907476 0.0
